Block,Plot,Plot.size,Mix,Partial,Fert,Year,Agrostis_gigantea,Alliaria_petiolata,Ambrosia_artemisiifolia,Asclepias_syriaca,Asclepias_tuberosa,Barbarea_vulgaris,Berteroa_incana,Boehmeria_cylindrica,Bromus_inermis,Calystegia_sepium,Carex_spicata,Cerastium_fontanum,Chenopodium_album,Cirsium_arvense,Cirsium_vulgare,Clinopodium_vulgare,Coreopsis_lanceolata,Coreopsis_tripteris,Dactylis_glomerata,Daucus_carota,Desmodium_canadense,Desmodium_illinoense,Dianthus_armeria,Elymus_repens,Epilobium_coloratum,Erigeron_annuus,Erigeron_canadensis,Erigeron_philadelphicus,Erigeron_strigosus,Euthamia_graminifolia,Festuca_rubra,Foeniculum_vulgare,Galium_aparine,Hypericum_perforatum,Lactuca_serriola,Leonurus_cardiaca,Leucanthemum_vulgare,Liatris_aspera,Linaria_vulgaris,Lolium_multiflorum,Lolium_perenne,Medicago_lupulina,Melilotus_albus,Monarda_fistulosa,Monarda_punctata,Oenothera_biennis,Oxalis_stricta,Panicum_capillare,Panicum_virgatum,Parthenocissus_quinquefolia,Penstemon_digitalis,Persicaria_lapathifolia,Phleum_pratense,Pilosella_caespitosa,Plantago_lanceolata,Plantago_major,Portulaca_oleracea,Potentilla_recta,Ratibida_pinnata,Rudbeckia_hirta,Schizachyrium_scoparium,Scrophularia_lanceolata,Setaria_viridis,Silene_latifolia,Silene_vulgaris,Solanum_dulcamara,Solidago_canadensis,Solidago_nemoralis,Solidago_rigida,Sonchus_arvensis,Sorghastrum_nutans,Stellaria_media,Symphyotrichum_ericoides,Symphyotrichum_lanceolatum,Symphyotrichum_lateriflorum,Symphyotrichum_novae_angliae,Symphyotrichum_puniceum,Taraxacum_officinale,Tragopogon_dubius,Trifolium_repens,Verbascum_thapsus,Verbena_stricta,Verbena_urticifolia,Veronica_arvensis
1,1,0.5,TGP,N,Y,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0
1,1,0.5,TGP,N,Y,2014,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,29,9,0,0,0,0,0,0,0,108,0,0,0,0
1,1,0.5,TGP,N,Y,2015,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
1,1,0.5,TGP,N,Y,2016,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.5,TGP,N,Y,2017,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5
1,1,0.5,TGP,N,Y,2018,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.5,TGP,N,Y,2019,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.5,TGP,N,Y,2020,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.5,TGP,N,Y,2021,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,2,0,0,0,3,0,1,0,0,0,0,0,19
1,1,0.5,TGP,N,Y,2022,0,0,0,0,0,0,0,0,14.33333333,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14.98089172,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,TGP,Y,Y,2013,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,TGP,Y,Y,2016,0,23,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,30,0,0,0,0,0,0,0,36,0,0,31,0,3,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,2,1,0,0,0,0,0
1,1,1,TGP,Y,Y,2017,0,63,0,0,0,13,0,0,28,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,65,0,0,23,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,86,6,0,0,0,4,0,0,0,24,0,4,0,0,0,0,0,8
1,1,1,TGP,Y,Y,2018,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,61,4,0,0,0,0,0,0,0,29,0,2,0,0,0,0,0,0
1,1,1,TGP,Y,Y,2019,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,65,3,0,0,0,0,0,0,0,56,0,3,0,0,0,0,0,0
1,1,1,TGP,Y,Y,2020,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
1,1,1,TGP,Y,Y,2021,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
1,1,1,TGP,Y,Y,2022,0,0,0,0,0,0,0,0,142.6666667,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,263.6942675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
1,1,2,OF,N,N,2013,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,2,31,0,0,17,0,104,0,1,2,0,0,0,0,0,0,1,8,0,0,1,0,0,1,0,0,0,0,0,38,0,0,0,4,41,0,0,0,4,0,1,0,0,4,1,0,2
1,1,2,OF,N,N,2014,0,0,0,2,0,27,0,0,25,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,101,0,0,0,0,5,0,0,0,4,0,0,0,64,2,2,0,0
1,1,2,OF,N,N,2015,0,0,0,0,0,9,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,120,0,0,0,0,89,6,0,9,0,0,0,0,0,0,0,8,1,0,2,0,0,0,0,0,0,0,0,136,0,0,0,3,5,0,0,0,11,0,2,3,2,0,0,0,0
1,1,2,OF,N,N,2016,0,0,0,1,0,1,0,0,156,0,0,21,0,0,0,0,2,0,0,3,0,9,0,6,4,0,0,0,0,4,33,0,0,0,0,0,0,0,155,0,0,30,0,156,0,0,4,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,20,0,0,1,0,2,0,0,0,15,0,6,0,0,0,8,0,0
1,1,2,OF,N,N,2017,0,6,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,172,0,2,0,0,1,0,0,0,0,0,144,0,0,0,0,0,0,0,292,0,0,62,0,194,0,2,2,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,173,8,1,0,0,9,0,0,0,62,0,8,0,0,0,2,0,14
1,1,2,OF,N,N,2018,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,480,0,0,0,0,0,0,0,76,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,139,15,1,0,0,0,0,0,0,38,0,4,0,0,0,0,0,0
1,1,2,OF,N,N,2019,0,0,0,0,0,2,0,0,400,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,5,240,0,0,0,0,0,0,0,52,0,0,0,0,161,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,87,0,0,0,0,2,0,0,0,24,0,3,0,0,0,0,0,0
1,1,2,OF,N,N,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,0,640,0,0,0,0,0,12,480,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
1,1,2,OF,N,N,2021,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
1,1,2,OF,N,N,2022,0,0,0,1,2,0,0,0,652.6666667,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,862.9299363,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
1,2,0.5,TGP,Y,N,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,2,0.5,TGP,Y,N,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,2,0.5,TGP,Y,N,2017,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,59,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,30,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0
1,2,0.5,TGP,Y,N,2018,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,12,0,18,0,0,0,0,2,0,0,0,0,0,30,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0
1,2,0.5,TGP,Y,N,2019,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1,2,0.5,TGP,Y,N,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
1,2,0.5,TGP,Y,N,2021,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,38,0,4,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
1,2,0.5,TGP,Y,N,2022,0,0,0,0,2,0,0,0,20.33333333,0,0,0,0,0,0,0,0,47,0,1,0,0,0,0,0,0,0,0,0,0,31.49044586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
1,2,1,OF,Y,Y,2013,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,75,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2
1,2,1,OF,Y,Y,2016,0,1,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,2,4,0,0,1,0,0,0,0,66,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,OF,Y,Y,2017,0,4,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,360,0,0,3,0,0,0,0,80,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11
1,2,1,OF,Y,Y,2018,0,0,0,1,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,OF,Y,Y,2019,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,OF,Y,Y,2020,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,OF,Y,Y,2021,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,OF,Y,Y,2022,0,0,0,0,0,0,0,0,326.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.3757962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,TGP,N,N,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,35,0,0,12,0,0,75,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,1,0,0,5,0,0,7
1,2,2,TGP,N,N,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,80,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,16,0,0,0,20,4,0,0,3,0,0,0,0,0,0,0,0,120,1,0,0,18
1,2,2,TGP,N,N,2015,0,0,0,0,0,0,0,0,160,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,8,0,0,4,3,0,0,11,0,0,0,0,91,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,47,11,0,0,5,10,0,0,0,0,0,3,1,11,0,0,0,16
1,2,2,TGP,N,N,2016,0,0,1,0,0,0,0,0,275,0,0,3,0,7,1,0,0,0,0,148,0,0,0,0,0,0,0,0,0,3,0,0,0,22,0,0,0,0,269,0,0,43,2,0,0,0,7,0,0,0,0,0,0,5,7,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,33,0,0,0,0,0,2,2,0,0,0,0,25
1,2,2,TGP,N,N,2017,0,0,0,2,0,1,0,0,400,0,0,0,0,0,2,0,0,0,0,245,0,4,0,0,0,0,0,0,0,4,384,0,0,32,0,0,0,0,543,0,0,38,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,52,0,0,0,0,0,0,0,93,2,0,0,0,34,0,0,0,1,0,5,2,0,0,0,0,44
